COD_MUN;REGION;NOM_MUN;TRASLADO DE RECURSOS DE APROVECHAMIENTO
73001;CENTRO SUR;IBAGUÉ;TRASLADO
52001;PACÍFICO;PASTO;TRASLADO
13001;CARIBE;CARTAGENA DE INDIAS;TRASLADO
05045;EJE CAFETERO;APARTADÓ;TRASLADO
11001;CENTRO ORIENTE;BOGOTÁ, D.C.;TRASLADO
08001;CARIBE;BARRANQUILLA;TRASLADO
08433;CARIBE;MALAMBO;TRASLADO
08758;CARIBE;SOLEDAD;TRASLADO
08573;CARIBE;PUERTO COLOMBIA;TRASLADO
68001;CENTRO ORIENTE;BUCARAMANGA;TRASLADO
54001;CENTRO ORIENTE;CUCUTA;TRASLADO
68276;CENTRO ORIENTE;FLORIDABLANCA;TRASLADO
68307;CENTRO ORIENTE;GIRÓN;TRASLADO
68547;CENTRO ORIENTE;PIEDECUESTA;TRASLADO
76364;PACÍFICO;JAMUNDÍ;TRASLADO
76520;PACÍFICO;PALMIRA;TRASLADO
25430;CENTRO ORIENTE;MADRID;TRASLADO
76001;PACÍFICO;CALI;TRASLADO
25740;CENTRO ORIENTE;SIBATÉ;TRASLADO
68081;CENTRO ORIENTE;BARRANCABERMEJA;TRASLADO
73449;CENTRO SUR;MELGAR;TRASLADO
15238;CENTRO ORIENTE;DUITAMA;TRASLADO
15001;CENTRO ORIENTE;TUNJA;TRASLADO
15759;CENTRO ORIENTE;SOGAMOSO;TRASLADO
20001;CARIBE;VALLEDUPAR;TRASLADO
73168;CENTRO SUR;CHAPARRAL;TRASLADO
05154;EJE CAFETERO;CAUCASIA;TRASLADO
25269;CENTRO ORIENTE;FACATATIVÁ;TRASLADO
25612;CENTRO ORIENTE;RICAURTE;TRASLADO
25754;CENTRO ORIENTE;SOACHA;TRASLADO
19573;PACÍFICO;PUERTO TEJADA;TRASLADO
76111;PACÍFICO;GUADALAJARA DE BUGA;TRASLADO
76834;PACÍFICO;TULUÁ;TRASLADO
76892;PACÍFICO;YUMBO;TRASLADO
41001;CENTRO SUR;NEIVA;TRASLADO
41615;CENTRO SUR;RIVERA;TRASLADO
41396;CENTRO SUR;LA PLATA;TRASLADO
50318;LLANO ;GUAMAL;TRASLADO
44430;CARIBE;MAICAO;TRASLADO
05360;EJE CAFETERO;ITAGÜÍ;TRASLADO
05001;EJE CAFETERO;MEDELLÍN;TRASLADO
05631;EJE CAFETERO;SABANETA;TRASLADO
25290;CENTRO ORIENTE;FUSAGASUGÁ;TRASLADO
05376;EJE CAFETERO;LA CEJA;TRASLADO
05088;EJE CAFETERO;BELLO;TRASLADO
05129;EJE CAFETERO;CALDAS;TRASLADO
05212;EJE CAFETERO;COPACABANA;TRASLADO
05308;EJE CAFETERO;GIRARDOTA;TRASLADO
05380;EJE CAFETERO;LA ESTRELLA;TRASLADO
08078;CARIBE;BARANOA;TRASLADO
