ID EMPRESA;NOMBRE EMPRESA;AÑO CARGUE;PERIODO CARGUE;DEPARTAMENTO;MUNICIPIO;NUAP;COSTO DE RECOLECCION  Y TRANSPORTE;COSTO DE DISPOSICION FINAL;TONELADAS DE RECHAZO;TONELADAS DE RESIDUOS;NUMERO DE SUSCRIPTORES ATENDIDOS;NUMERO DE SUSCRIPTORES PREDIO DESOCUPADO;FECHA DE CERTIFICACIÓN
4;AQUAMANA E.S.P.;2016;ABRIL;CALDAS;VILLAMARIA;899917873;82331;32164;0;949,125;13872;339;2018-09-29
4;AQUAMANA E.S.P.;2016;AGOSTO;CALDAS;VILLAMARIA;899917873;82331;32164;0;949,125;14081;376;2018-09-29
4;AQUAMANA E.S.P.;2016;DICIEMBRE;CALDAS;VILLAMARIA;899917873;82331;32164;0;949,125;14334;356;2018-09-30
4;AQUAMANA E.S.P.;2016;JULIO;CALDAS;VILLAMARIA;899917873;82331;32164;0;949,125;14019;373;2018-09-29
4;AQUAMANA E.S.P.;2016;JUNIO;CALDAS;VILLAMARIA;899917873;82331;32164;0;949,125;13938;383;2018-09-29
4;AQUAMANA E.S.P.;2016;MAYO;CALDAS;VILLAMARIA;899917873;82331;32164;0;949,125;13891;351;2018-09-29
4;AQUAMANA E.S.P.;2016;NOVIEMBRE;CALDAS;VILLAMARIA;899917873;82331;32164;0;733,17;14277;379;2018-08-23
4;AQUAMANA E.S.P.;2016;OCTUBRE;CALDAS;VILLAMARIA;899917873;82331;32164;0;949,125;14254;336;2018-09-30
4;AQUAMANA E.S.P.;2016;SEPTIEMBRE;CALDAS;VILLAMARIA;899917873;82331;32164;0;949,125;14111;368;2018-09-30
4;AQUAMANA E.S.P.;2017;ABRIL;CALDAS;VILLAMARIA;899917873;82331;32164;0;798,55;13878;341;2018-06-21
4;AQUAMANA E.S.P.;2017;AGOSTO;CALDAS;VILLAMARIA;899917873;82331;32164;0;772,53;14086;374;2018-08-23
4;AQUAMANA E.S.P.;2017;DICIEMBRE;CALDAS;VILLAMARIA;899917873;82331;32164;0;721,54;14332;353;2018-08-23
4;AQUAMANA E.S.P.;2017;ENERO;CALDAS;VILLAMARIA;899917873;82331;32164;0;873,75;13842;317;2018-06-21
4;AQUAMANA E.S.P.;2017;FEBRERO;CALDAS;VILLAMARIA;899917873;82331;32164;0;717,35;13853;328;2018-08-23
4;AQUAMANA E.S.P.;2017;JULIO;CALDAS;VILLAMARIA;899917873;82331;32164;0;893,21;14022;377;2018-06-21
4;AQUAMANA E.S.P.;2017;JUNIO;CALDAS;VILLAMARIA;899917873;82331;32164;0;904,22;13941;389;2018-06-21
4;AQUAMANA E.S.P.;2017;MARZO;CALDAS;VILLAMARIA;899917873;82331;32164;0;857,72;13860;336;2018-06-21
4;AQUAMANA E.S.P.;2017;MAYO;CALDAS;VILLAMARIA;899917873;82331;32164;0;970,48;13895;356;2018-06-21
4;AQUAMANA E.S.P.;2017;NOVIEMBRE;CALDAS;VILLAMARIA;899917873;82331;32164;0;733,17;14277;379;2018-08-23
4;AQUAMANA E.S.P.;2017;OCTUBRE;CALDAS;VILLAMARIA;899917873;82331;32164;0;743,83;14250;331;2018-08-23
