DP;DPNOM;DPMP;MPIO;AÑO;ÁREA GEOGRÁFICA;Total
05;Antioquia;05001;Medellín;2018;Cabecera Municipal;2.382.399
05;Antioquia;05001;Medellín;2018;Centros Poblados y Rural Disperso;44.730
05;Antioquia;05001;Medellín;2018;Total;2.427.129
05;Antioquia;05001;Medellín;2019;Cabecera Municipal;2.439.470
05;Antioquia;05001;Medellín;2019;Centros Poblados y Rural Disperso;44.075
05;Antioquia;05001;Medellín;2019;Total;2.483.545
05;Antioquia;05001;Medellín;2020;Cabecera Municipal;2.490.164
05;Antioquia;05001;Medellín;2020;Centros Poblados y Rural Disperso;43.260
05;Antioquia;05001;Medellín;2020;Total;2.533.424
05;Antioquia;05001;Medellín;2021;Cabecera Municipal;2.530.461
05;Antioquia;05001;Medellín;2021;Centros Poblados y Rural Disperso;42.759
05;Antioquia;05001;Medellín;2021;Total;2.573.220
05;Antioquia;05001;Medellín;2022;Cabecera Municipal;2.570.327
05;Antioquia;05001;Medellín;2022;Centros Poblados y Rural Disperso;42.631
05;Antioquia;05001;Medellín;2022;Total;2.612.958
05;Antioquia;05001;Medellín;2023;Cabecera Municipal;2.611.104
05;Antioquia;05001;Medellín;2023;Centros Poblados y Rural Disperso;42.625
05;Antioquia;05001;Medellín;2023;Total;2.653.729
05;Antioquia;05001;Medellín;2024;Cabecera Municipal;2.657.772
05;Antioquia;05001;Medellín;2024;Centros Poblados y Rural Disperso;42.671
05;Antioquia;05001;Medellín;2024;Total;2.700.443
05;Antioquia;05001;Medellín;2025;Cabecera Municipal;2.702.693
05;Antioquia;05001;Medellín;2025;Centros Poblados y Rural Disperso;42.771
05;Antioquia;05001;Medellín;2025;Total;2.745.464
05;Antioquia;05001;Medellín;2026;Cabecera Municipal;2.744.969
05;Antioquia;05001;Medellín;2026;Centros Poblados y Rural Disperso;42.943
05;Antioquia;05001;Medellín;2026;Total;2.787.912
05;Antioquia;05001;Medellín;2027;Cabecera Municipal;2.784.305
05;Antioquia;05001;Medellín;2027;Centros Poblados y Rural Disperso;43.180
