ID EMPRESA,NOMBRE EMPRESA,AÑO CARGUE,PERIODO CARGUE,NUAP,DEPARTAMENTO,MUNICIPIO,NUMERO DE SUSCRIPTORES ATENDIDOS,NUMERO DE SUSCRIPTORES PREDIO DESOCUPADO,COSTO DE RECOLECCION  Y TRANSPORTE,COSTO DE DISPOSICION FINAL,TONELADAS DE RESIDUOS NO APROVECHABLES DEL ÁREA DE PRESTACIÓN ,TONELADAS MENSUALES DE RECHAZO DEL APROVECHAMIENTO DEL ÁREA DE PRESTACIÓN. ,TONELADAS MENSUALES DE BARRIDO Y LIMPIEZA DEL ÁREA DE PRESTACIÓN,TONELADAS MENSUALES DE LIMPIEZA URBANA DEL ÁREA DE PRESTACIÓN,TONELADAS MENSUALES DE RESIDUOS NO APROVECHABLES DEL ÁREA DE PRESTACIÓN-QNAZ,"TONELADAS MENSUALES EFECTIVAMENTE APROVECHADAS NO AFORADAS DE LA PERSONA PRESTADORA J DE RTA, REPORTADAS POR LAS ECA-QAJ. "
2636,REDIBA S.A ES.P,2019,DICIEMBRE,1172468081,SANTANDER,BARRANCABERMEJA,63092,965,97534.63,56929.56,4081.74,0,369.21,0,,
21707,EMPRESA DE SERVICIOS PUBLICOS DE ROLDANILLO S.A. E.S.P.,2019,JUNIO,1228676622,VALLE DEL CAUCA,ROLDANILLO,10274,120,135124.08,36303.38,530.26,0,18.56,5.57,,
21707,EMPRESA DE SERVICIOS PUBLICOS DE ROLDANILLO S.A. E.S.P.,2017,ENERO,1228676622,VALLE DEL CAUCA,ROLDANILLO,7649,20,137097.84,35014.33,453.26,0,8.47,0.65,,
21707,EMPRESA DE SERVICIOS PUBLICOS DE ROLDANILLO S.A. E.S.P.,2017,ABRIL,1228676622,VALLE DEL CAUCA,ROLDANILLO,7649,20,137065.1,35301.45,453.26,0,8.47,0.65,,
26785,CIUDAD LIMPIA NEIVA S.A E.S.P,2021,JUNIO,2328741001,HUILA,NEIVA,132733,1450,92785.28,35782.52,8996.47,17.78,492.2,57.45,8446.82,571.74
26785,CIUDAD LIMPIA NEIVA S.A E.S.P,2021,OCTUBRE,2328741001,HUILA,NEIVA,143590,2098,88774.68,34202.02,9017.31,11.72,544.12,42.31,8430.88,314.04
26785,CIUDAD LIMPIA NEIVA S.A E.S.P,2021,DICIEMBRE,2328741001,HUILA,NEIVA,143590,2098,88774.68,34202.02,9017.31,11.72,544.12,42.31,8430.88,323.18
626,EMPRESA METROPOLITANA DE ASEO S.A.  E.S.P.,2016,AGOSTO,599973349,TOLIMA,HONDA,8446,382,121880.56,47085,498.26,0,17.86,0,,
626,EMPRESA METROPOLITANA DE ASEO S.A.  E.S.P.,2017,ENERO,599973349,TOLIMA,HONDA,8473,644,120759.08,50407.27,530.33,0,23.5,0,,
626,EMPRESA METROPOLITANA DE ASEO S.A.  E.S.P.,2017,MAYO,599973349,TOLIMA,HONDA,8473,644,124949.42,50407.27,530.33,0,23.5,0,,
626,EMPRESA METROPOLITANA DE ASEO S.A.  E.S.P.,2017,JUNIO,599973349,TOLIMA,HONDA,8473,644,124949.42,50407.27,530.33,0,23.5,0,,
27772,TRASH GLOBAL S.A. E.S.P.,2016,ABRIL,374525269,CUNDINAMARCA,FACATATIVA,792,38,82339,28288,79.61,0,0,0,,
23450,URBASER LA TEBAIDA S.A. E.S.P.,2016,ABRIL,358363401,QUINDIO,LA TEBAIDA,8694,6,90350.73,37195.21,643.25,0,38.59,0,,
2614,CIUDAD LIMPIA BOGOTÁ S.A. E.S.P.,2016,ABRIL,42476001,VALLE DEL CAUCA,CALI,123185,1567,108616.41,25717.49,10452,0,724,0,,
2240,EMPRESA DE ASEO DE COPACABANA S.A. E.S.P.,2016,ABRIL,180105212,ANTIOQUIA,COPACABANA,18591,34,112772.85,26669.37,1189.11,0,23.323,0,,
20550,ECOPROCESOS HÁBITAT LÍMPIO S. EN C.A. E.S.P.,2016,ABRIL,254425473,CUNDINAMARCA,MOSQUERA,19971,699,78943,22116,2381.21,0,92.62,0,,
2240,EMPRESA DE ASEO DE COPACABANA S.A. E.S.P.,2016,MAYO,180105212,ANTIOQUIA,COPACABANA,18591,34,112772.85,26669.37,1189.11,0,23.323,0,,
2711,EMPRESA DE SERVICIOS PÚBLICOS DE BARBOSA,2016,MAYO,176805079,ANTIOQUIA,BARBOSA,7286,22,98134.51,26512.73,528.89,0,39.59,3.9,,
1967,ASEO CALDAS EMPRESA DE SERVICIOS PUBLICOS S.A.S. E.S.P.,2016,MAYO,128605129,ANTIOQUIA,CALDAS,19609,26,139640.56,26669.37,1234.04,0,24.13,0,,
1917,SOCIEDAD DE ASEO DE BELLO S.A. E.S.P.,2016,MAYO,124105088,ANTIOQUIA,BELLO,126223,81,109250.02,26669.37,7964.652,0,146.443,0,,
2271,EMPRESA MUNICIPAL DE SERVICIOS PUBLICOS DOMICILIARIOS DE PIEDECUESTA E.S.P.,2016,MAYO,2168547,SANTANDER,PIEDECUESTA,24644,250,75970.89,25020.3,1906.42,0,32.84,0,,
20108,LIMPIEZA Y SERVICIOS PÚBLICOS S.A.  E.S.P.,2016,JUNIO,52176001,VALLE DEL CAUCA,CALI,13928,418,133104.45,27152.75,692,0,25.83,0,,
2199,ASEO GIRARDOTA S.A.S E.S.P.,2016,JUNIO,242105308,ANTIOQUIA,GIRARDOTA,8364,22,110702.4,26669.37,811.835,0,20.313,0,,
1967,ASEO CALDAS EMPRESA DE SERVICIOS PUBLICOS S.A.S. E.S.P.,2016,JUNIO,128605129,ANTIOQUIA,CALDAS,19609,26,139640.56,26669.37,1234.04,0,24.13,0,,
70,EMPRESA DE ACUEDUCTO Y ALCANTARILLADO DE BOGOTÁ E.S.P,2016,JUNIO,56111001,"BOGOTA, D.C.","BOGOTA, D.C.",1978804,11844,90073.07,17978.31,149873.262,0,8535.062,2122.67,,
2405,EMPRESA METROPOLITANA DE ASEO DE OCCIDENTE S.A.  E.S.P.,2016,JULIO,20117042,CALDAS,ANSERMA,7304,431,109129.47,32679.12,364.8,0,10.22,0,,
722,ACUASAN E.I.C.E  E.S.P,2016,AGOSTO,246368679,SANTANDER,SAN GIL,16650,619,0,0,1149.06,0,0,1.72,,
1252,EMPRESA METROPOLITANA DE ASEO DE CHINCHINA S.A E.S.P,2016,AGOSTO,226117174,CALDAS,CHINCHINA,13611,513,102031.7,32679.12,828.18,0,29.25,0,,
1917,SOCIEDAD DE ASEO DE BELLO S.A. E.S.P.,2016,AGOSTO,124105088,ANTIOQUIA,BELLO,129090,69,110163.78,26557.24,7696.168,0,138.918,0,,
175,"EMPRESA MUNICIPAL DE ACUEDUCTO, ALCANTARILLADO Y ASEO DE FUNZA ",2016,AGOSTO,156125286,CUNDINAMARCA,FUNZA,25004,1744,83788.59,27594.23,1938.43,0,103.54,28.8,,
2711,EMPRESA DE SERVICIOS PÚBLICOS DE BARBOSA,2016,SEPTIEMBRE,176805079,ANTIOQUIA,BARBOSA,7369,27,99173.9,26557.2,499.19,0,40.19,0,,
2240,EMPRESA DE ASEO DE COPACABANA S.A. E.S.P.,2016,SEPTIEMBRE,180105212,ANTIOQUIA,COPACABANA,18989,34,112669.84,26557.24,1097.552,0,21.205,0,,
2866,VEOLIA ASEO NORTE DE SANTANDER SAS ESP,2016,ABRIL,366320011,CESAR,AGUACHICA,23088,3057,62167,55441,2473,0,125,0,,
22341,PROMOVALLE S.A. ESP,2016,NOVIEMBRE,266176001,VALLE DEL CAUCA,CALI,150811,1015,108782.68,27804.33,11950.75,0,960.1,0,,
111,EMPRESAS VARIAS DE MEDELLIN  S.A. E.S. P.,2016,NOVIEMBRE,441205631,ANTIOQUIA,SABANETA,5,0,115974.44,26557.23,182.06,0,0,0,,
806,BIOAGRICOLA DEL LLANO S.A  EMPRESA DE SERVICIOS PUBLICOS,2016,NOVIEMBRE,2450001,META,VILLAVICENCIO,140586,818,87343.79,30769,11121.36,0,1126.34,20.81,,
2263,CARA LIMPIA S.A. E.S.P.,2016,NOVIEMBRE,326268547,SANTANDER,PIEDECUESTA,3929,7,123318.4,25205.44,255.42,0,11.16,0,,
111,EMPRESAS VARIAS DE MEDELLIN  S.A. E.S. P.,2016,DICIEMBRE,440605079,ANTIOQUIA,BARBOSA,3,0,115974.44,26557.23,85.71,0,0,0,,
111,EMPRESAS VARIAS DE MEDELLIN  S.A. E.S. P.,2016,DICIEMBRE,440505088,ANTIOQUIA,BELLO,4,0,115974.44,26557.23,61.31,0,0,0,,
1896,VEOLIA ASEO PALMIRA S.A.S. E.S.P.,2016,DICIEMBRE,256276520,VALLE DEL CAUCA,PALMIRA,81246,1246,120565,31109,5554,0,203,58,,
1868,VEOLIA ASEO BUGA  S.A.  E.S.P.,2016,DICIEMBRE,398176111,VALLE DEL CAUCA,GUADALAJARA DE BUGA,34529,413,79398,31109,2320,0,114,26,,
22333,VEOLIA ASEO CALI  S.A   E. S. P.,2016,DICIEMBRE,404376001,VALLE DEL CAUCA,CALI,220527,273,108782.68,27804.33,12934.3,0,776.05,0,,
22714,URBASER DUITAMA S.A. E.S.P.,2016,DICIEMBRE,374415238,BOYACA,DUITAMA,36636,658,94278,44061,1975.51,0,219.99,0,,
722,ACUASAN E.I.C.E  E.S.P,2016,DICIEMBRE,246368679,SANTANDER,SAN GIL,16650,619,88370.17,103980.25,1147.33,0,1.72,0,,
111,EMPRESAS VARIAS DE MEDELLIN  S.A. E.S. P.,2016,DICIEMBRE,441005380,ANTIOQUIA,LA ESTRELLA,3,0,115974.44,26557.23,14.52,0,0,0,,
1737,RUITOQUE S.A. E.S.P.,2016,MAYO,377068547,SANTANDER,PIEDECUESTA,935,312,256274.15,23839,60.77,0,0,0,,
1868,VEOLIA ASEO BUGA  S.A.  E.S.P.,2016,MAYO,398176111,VALLE DEL CAUCA,GUADALAJARA DE BUGA,34124,595,79890,31216,2499,0,115,0,,
27772,TRASH GLOBAL S.A. E.S.P.,2016,MAYO,374525269,CUNDINAMARCA,FACATATIVA,792,38,82339,28288,79.61,0,0,0,,
2263,CARA LIMPIA S.A. E.S.P.,2016,MAYO,326268547,SANTANDER,PIEDECUESTA,3933,7,120661.15,25020,275.67,0,11.64,0,,
81,ASEO TECNICO S.A.S. E.S.P.,2016,MAYO,26144430,LA GUAJIRA,MAICAO,21859,549,83948.18,69689.83,2850.19,0,231.74,0,,
22714,URBASER DUITAMA S.A. E.S.P.,2016,MAYO,374415238,BOYACA,DUITAMA,35921,549,94013,47847,1859.94,0,235.58,0,,
2043,ENVIASEO E.S.P.,2016,MAYO,314105266,ANTIOQUIA,ENVIGADO,77921,86,120466,26669,6165.57,0,341.2,0,,
2239,ASOCIACION DE SOCIOS SUSCRIPTORES DEL SERVICIO DE ACUEDUCTO ALCANTARILLADO Y ASEO DEL BARRIO CARTAGENA FACATATIVA,2016,MAYO,437125269,CUNDINAMARCA,FACATATIVA,1239,4,4971,1150,151.04,0,4.5,146.5,,
2614,CIUDAD LIMPIA BOGOTÁ S.A. E.S.P.,2016,MAYO,42476001,VALLE DEL CAUCA,CALI,123185,1567,108616.41,27152.75,10452,0,724,0,,
730,EMPRESA INDUSTRIAL Y COMERCIAL DEL ESTADO EMPRESA DE SERVICIOS PÚBLICOS DOMICILIARIOS,2016,DICIEMBRE,72466170,RISARALDA,DOSQUEBRADAS,55569,1244,67400.28,26188.62,2834.81,0,71.24,8.27,,
2954,ASEO DEL NORTE S.A.S  E.S.P.,2016,DICIEMBRE,388220001,CESAR,VALLEDUPAR,96277,1025,78094.92,31470.51,11172.66,0,1062.14,8.53,,
175,"EMPRESA MUNICIPAL DE ACUEDUCTO, ALCANTARILLADO Y ASEO DE FUNZA ",2016,DICIEMBRE,156125286,CUNDINAMARCA,FUNZA,25297,465,83788.5,27594.2,2054.21,0,110.08,37.26,,
2711,EMPRESA DE SERVICIOS PÚBLICOS DE BARBOSA,2016,DICIEMBRE,176805079,ANTIOQUIA,BARBOSA,7369,27,99173.9,26557.2,499.19,0,40.19,0,,
1056,"EMPRESA MUNICIPAL DE ASEO, ALCANTARILLADO Y ACUEDUCTO DE FLORIDABLANCA E.S.P",2016,DICIEMBRE,2368276,SANTANDER,FLORIDABLANCA,20539,73,80805.92,22627.5,1643.28,0,33.28,0,,
111,EMPRESAS VARIAS DE MEDELLIN  S.A. E.S. P.,2017,ENERO,441105212,ANTIOQUIA,COPACABANA,3,0,115974.44,26557.23,95.16,0,0,0,,
722,ACUASAN E.I.C.E  E.S.P,2017,ENERO,246368679,SANTANDER,SAN GIL,17141,750,88312.6,116277.76,1135.58,0,1.82,19.79,,
111,EMPRESAS VARIAS DE MEDELLIN  S.A. E.S. P.,2017,ENERO,440405001,ANTIOQUIA,MEDELLIN,722734,10239,115974.44,26557.23,49819.55,0,1816.72,0,,
2361,ASEO SIDERENSE S.A.S. E.S.P.,2016,MAYO,310105380,ANTIOQUIA,LA ESTRELLA,11874,33,132998.24,26669.37,1548.23,0,28.393,0,,
1896,VEOLIA ASEO PALMIRA S.A.S. E.S.P.,2016,MAYO,256276520,VALLE DEL CAUCA,PALMIRA,79550,1643,119353,31216,6059,0,205,0,,
1917,SOCIEDAD DE ASEO DE BELLO S.A. E.S.P.,2016,OCTUBRE,124105088,ANTIOQUIA,BELLO,129090,69,110163.78,26557.24,7696.168,0,138.918,0,,
403,EMPRESA DE SERVICIOS PUBLICOS DE FUSAGASUGA E.S.P,2016,OCTUBRE,164525290,CUNDINAMARCA,FUSAGASUGA,36481,3482,129782.4,27594.23,2339.44,0,176.17,59.83,,
2199,ASEO GIRARDOTA S.A.S E.S.P.,2016,OCTUBRE,242105308,ANTIOQUIA,GIRARDOTA,8451,16,111282.28,26557.24,805.435,0,15.31,0,,
1896,VEOLIA ASEO PALMIRA S.A.S. E.S.P.,2017,ENERO,256276520,VALLE DEL CAUCA,PALMIRA,82679,1790,121026,31223,5952.6,0,213.6,61,,
732,EMPRESAS PUBLICAS DE ARMENIA ,2017,ENERO,242463001,QUINDIO,ARMENIA,104065,1778,92329.29,37774.23,6213.87,0,122.29,564.69,,
1056,"EMPRESA MUNICIPAL DE ASEO, ALCANTARILLADO Y ACUEDUCTO DE FLORIDABLANCA E.S.P",2017,ENERO,2368276,SANTANDER,FLORIDABLANCA,21328,112,84608.93,25205.44,1713.99,0,33.52,0,,
2954,ASEO DEL NORTE S.A.S  E.S.P.,2017,ENERO,388220001,CESAR,VALLEDUPAR,98852,1389,82711.45,30835.99,11861.08,0,1128.76,8.53,,
20681,EMPRESA DE ASEO DE CAREPA S.A.S . E.S.P.,2017,ENERO,314205147,ANTIOQUIA,CAREPA,11937,229,110190.15,36279,1019.07,0,17.97,0,,
2405,EMPRESA METROPOLITANA DE ASEO DE OCCIDENTE S.A.  E.S.P.,2017,ENERO,20117042,CALDAS,ANSERMA,7329,471,108530.28,32091.81,376.47,0,10.48,0,,
2018,VEOLIA ASEO PRADERA S.A.S. E.S.P.,2017,ENERO,166176563,VALLE DEL CAUCA,PRADERA,10385,306,143767,31223,766,0,18.4,0,,
1868,VEOLIA ASEO BUGA  S.A.  E.S.P.,2016,JUNIO,398176111,VALLE DEL CAUCA,GUADALAJARA DE BUGA,34124,595,81573,31216,2499,0,115,0,,
