|AUX_PER|AUX_LOC|TONELADAS DE RESIDUOS|TONELADAS APROVECHADAS|Tasa_de_aprovechamiento|AÑO
8857|2020-12|BOGOTA, D.C.-BOGOTA, D.C.|162855.77000000002|145065.59999999992|0.471112479137125|2020
8691|2020-11|BOGOTA, D.C.-BOGOTA, D.C.|162855.77000000002|131980.46|0.44763989825809397|2020
9528|2021-04|BOGOTA, D.C.-BOGOTA, D.C.|178917.49999999997|128750.61000000006|0.4184723922151049|2021
9023|2021-01|BOGOTA, D.C.-BOGOTA, D.C.|178917.49999999997|128409.36999999998|0.41782669377396126|2021
8365|2020-09|BOGOTA, D.C.-BOGOTA, D.C.|162855.77000000002|127039.45|0.4382254043374706|2020
8528|2020-10|BOGOTA, D.C.-BOGOTA, D.C.|162855.77000000002|126599.8700000001|0.4373722688561192|2020
9696|2021-05|BOGOTA, D.C.-BOGOTA, D.C.|178917.49999999997|126144.42000000011|0.41350431414055244|2021
8032|2020-07|BOGOTA, D.C.-BOGOTA, D.C.|162855.77000000002|121904.60999999996|0.42809540428341875|2020
9863|2021-06|BOGOTA, D.C.-BOGOTA, D.C.|178917.49999999997|121133.82999999997|0.4037103584909955|2021
9191|2021-02|BOGOTA, D.C.-BOGOTA, D.C.|178917.49999999997|121106.06000000004|0.40365516628094156|2021
9359|2021-03|BOGOTA, D.C.-BOGOTA, D.C.|178917.49999999997|120007.99000000008|0.4014645589441036|2021
8199|2020-08|BOGOTA, D.C.-BOGOTA, D.C.|162855.77000000002|119284.35000000012|0.4227840762242537|2020
7864|2020-06|BOGOTA, D.C.-BOGOTA, D.C.|177178.31000000003|112066.8600000001|0.387445916555841|2020
6867|2019-12|BOGOTA, D.C.-BOGOTA, D.C.|171281.6|105330.26999999981|0.3807872380892399|2019
7199|2020-02|BOGOTA, D.C.-BOGOTA, D.C.|354356.61999999994|104649.09999999992|0.22799084072416342|2020
7696|2020-05|BOGOTA, D.C.-BOGOTA, D.C.|177178.31000000003|104606.7999999999|0.3712289836748291|2020
7033|2020-01|BOGOTA, D.C.-BOGOTA, D.C.|354356.61999999994|99967.29000000007|0.2200352827567452|2020
6535|2019-10|BOGOTA, D.C.-BOGOTA, D.C.|171281.6|93648.85000000003|0.3534846598418567|2019
7529|2020-04|BOGOTA, D.C.-BOGOTA, D.C.|177178.31000000003|93428.81999999996|0.3452563130912329|2020
6701|2019-11|BOGOTA, D.C.-BOGOTA, D.C.|171281.6|92055.20000000004|0.349572106898846|2019
6043|2019-07|BOGOTA, D.C.-BOGOTA, D.C.|171281.6|88812.96552999996|0.3414641338200357|2019
