|DP|DPNOM|DPMP|MPIO|AÑO|ÁREA GEOGRÁFICA|Total population_x|AUX_LOC|TONELADAS DE RESIDUOS|TONELADAS APROVECHADAS|Tasa_de_aprovechamiento|Total population_y|Id Empresa|Empresa|Nombre del departamento|Nombre del municipio|Nombre sitio disposición final|NUSD|Fecha inicio operaciones|Tipo disposición final|Longitud|Latitud|Propietario predio del SDF|Entidad otorgó autorización|Tipo autorización ambiental|No. Res. de la autorización|Fecha Res. de la Autorización|Fecha terminación vigencia Res|Fecha terminación vida útil|fecha hoy|años_vida|Capacidad de diseño|Entidad otorgó permiso vertimi|No.Res. permiso vertimiento|Fecha Res. permiso vertimiento|Fecha term permiso vertimiento|Fecha aplicación metodología|Fecha de certificación
0|5.0|ANTIOQUIA|5756.0|SONSON|2021|Cabecera Municipal|18.568|ANTIOQUIA-SONSON|4143.51|0.0|0.0|446316.0|26741|AGUAS DEL PÁRAMO DE SONSÓN S.A.S. E.S.P|ANTIOQUIA|SONSON|AMBIENTE SONSON|670305756|2012-09-01|Relleno sanitario|-753519500|57131200.0|"29|MUNICIPIO"|"41|CORPORACIÓN AUTÓNOMA REGIONAL DE LOS RÍOS NEGRO Y NARE - CORNARE"|Licencia ambiental|112-46241|2009-09-01|2019-09-01|2019-09-01|2022-06-25|0.0|179898.0|"41|CORPORACIÓN AUTÓNOMA REGIONAL DE LOS RÍOS NEGRO Y NARE - CORNARE"|12401.46|2009-09-01|2019-09-01|2017-06-01|2017-08-24
1|5.0|ANTIOQUIA|5756.0|SONSON|2021|Centros Poblados y Rural Disperso|18.625|ANTIOQUIA-SONSON|4143.51|0.0|0.0|446316.0|26741|AGUAS DEL PÁRAMO DE SONSÓN S.A.S. E.S.P|ANTIOQUIA|SONSON|AMBIENTE SONSON|670305756|2012-09-01|Relleno sanitario|-753519500|57131200.0|"29|MUNICIPIO"|"41|CORPORACIÓN AUTÓNOMA REGIONAL DE LOS RÍOS NEGRO Y NARE - CORNARE"|Licencia ambiental|112-46241|2009-09-01|2019-09-01|2019-09-01|2022-06-25|0.0|179898.0|"41|CORPORACIÓN AUTÓNOMA REGIONAL DE LOS RÍOS NEGRO Y NARE - CORNARE"|12401.46|2009-09-01|2019-09-01|2017-06-01|2017-08-24
2|5.0|ANTIOQUIA|5756.0|SONSON|2021|Total|37.193|ANTIOQUIA-SONSON|4143.51|0.0|0.0|446316.0|26741|AGUAS DEL PÁRAMO DE SONSÓN S.A.S. E.S.P|ANTIOQUIA|SONSON|AMBIENTE SONSON|670305756|2012-09-01|Relleno sanitario|-753519500|57131200.0|"29|MUNICIPIO"|"41|CORPORACIÓN AUTÓNOMA REGIONAL DE LOS RÍOS NEGRO Y NARE - CORNARE"|Licencia ambiental|112-46241|2009-09-01|2019-09-01|2019-09-01|2022-06-25|0.0|179898.0|"41|CORPORACIÓN AUTÓNOMA REGIONAL DE LOS RÍOS NEGRO Y NARE - CORNARE"|12401.46|2009-09-01|2019-09-01|2017-06-01|2017-08-24
3|5.0|ANTIOQUIA|5756.0|SONSON|2021|Cabecera Municipal|18.568|ANTIOQUIA-SONSON|4143.51|0.0|0.0|446316.0|26741|AGUAS DEL PÁRAMO DE SONSÓN S.A.S. E.S.P|ANTIOQUIA|SONSON|RELLENO SANITARIO SAN MIGUEL|2675505756|2017-01-25|Relleno sanitario|-747383553|57382826.0|"29|MUNICIPIO"|"41|CORPORACIÓN AUTÓNOMA REGIONAL DE LOS RÍOS NEGRO Y NARE - CORNARE"|Licencia ambiental|112-3794|2012-09-19|2026-09-19|2056-09-19|2022-06-25|34.0|64316.0|"41|CORPORACIÓN AUTÓNOMA REGIONAL DE LOS RÍOS NEGRO Y NARE - CORNARE"|112-3794|2012-09-19|2026-09-19|2017-06-01|2022-01-26
4|5.0|ANTIOQUIA|5756.0|SONSON|2021|Centros Poblados y Rural Disperso|18.625|ANTIOQUIA-SONSON|4143.51|0.0|0.0|446316.0|26741|AGUAS DEL PÁRAMO DE SONSÓN S.A.S. E.S.P|ANTIOQUIA|SONSON|RELLENO SANITARIO SAN MIGUEL|2675505756|2017-01-25|Relleno sanitario|-747383553|57382826.0|"29|MUNICIPIO"|"41|CORPORACIÓN AUTÓNOMA REGIONAL DE LOS RÍOS NEGRO Y NARE - CORNARE"|Licencia ambiental|112-3794|2012-09-19|2026-09-19|2056-09-19|2022-06-25|34.0|64316.0|"41|CORPORACIÓN AUTÓNOMA REGIONAL DE LOS RÍOS NEGRO Y NARE - CORNARE"|112-3794|2012-09-19|2026-09-19|2017-06-01|2022-01-26
5|5.0|ANTIOQUIA|5756.0|SONSON|2021|Total|37.193|ANTIOQUIA-SONSON|4143.51|0.0|0.0|446316.0|26741|AGUAS DEL PÁRAMO DE SONSÓN S.A.S. E.S.P|ANTIOQUIA|SONSON|RELLENO SANITARIO SAN MIGUEL|2675505756|2017-01-25|Relleno sanitario|-747383553|57382826.0|"29|MUNICIPIO"|"41|CORPORACIÓN AUTÓNOMA REGIONAL DE LOS RÍOS NEGRO Y NARE - CORNARE"|Licencia ambiental|112-3794|2012-09-19|2026-09-19|2056-09-19|2022-06-25|34.0|64316.0|"41|CORPORACIÓN AUTÓNOMA REGIONAL DE LOS RÍOS NEGRO Y NARE - CORNARE"|112-3794|2012-09-19|2026-09-19|2017-06-01|2022-01-26
6|25.0|CUNDINAMARCA|25307.0|GIRARDOT|2021|Cabecera Municipal|110.244|CUNDINAMARCA-GIRARDOT|36426.84|640.0|0.017266106309574814|1369824.0|686|UNIDAD DE SERVICIOS PUBLICOS DOMICILIARIOS DEL MUNICIPIO DE CABRERA|CUNDINAMARCA|GIRARDOT|RELLENO SANITARIO PARQUE ECOLOGICO PRADERAS DEL MAGDALENA|1588725307|2005-11-11|Relleno sanitario|-748572040|43305830.0|"28|EMPRESA OPERADORA"|"42|CORPORACIÓN AUTÓNOMA REGIONAL DE CUNDINAMARCA - CAR"|Licencia ambiental|408|2005-03-09|2021-11-09|2021-11-09|2022-06-25|0.0|1000000.0|"42|CORPORACIÓN AUTÓNOMA REGIONAL DE CUNDINAMARCA - CAR"|408|2005-03-09|2021-11-11|2016-01-04|2020-06-03
7|25.0|CUNDINAMARCA|25307.0|GIRARDOT|2021|Centros Poblados y Rural Disperso|3.908|CUNDINAMARCA-GIRARDOT|36426.84|640.0|0.017266106309574814|1369824.0|686|UNIDAD DE SERVICIOS PUBLICOS DOMICILIARIOS DEL MUNICIPIO DE CABRERA|CUNDINAMARCA|GIRARDOT|RELLENO SANITARIO PARQUE ECOLOGICO PRADERAS DEL MAGDALENA|1588725307|2005-11-11|Relleno sanitario|-748572040|43305830.0|"28|EMPRESA OPERADORA"|"42|CORPORACIÓN AUTÓNOMA REGIONAL DE CUNDINAMARCA - CAR"|Licencia ambiental|408|2005-03-09|2021-11-09|2021-11-09|2022-06-25|0.0|1000000.0|"42|CORPORACIÓN AUTÓNOMA REGIONAL DE CUNDINAMARCA - CAR"|408|2005-03-09|2021-11-11|2016-01-04|2020-06-03
8|25.0|CUNDINAMARCA|25307.0|GIRARDOT|2021|Total|114.152|CUNDINAMARCA-GIRARDOT|36426.84|640.0|0.017266106309574814|1369824.0|686|UNIDAD DE SERVICIOS PUBLICOS DOMICILIARIOS DEL MUNICIPIO DE CABRERA|CUNDINAMARCA|GIRARDOT|RELLENO SANITARIO PARQUE ECOLOGICO PRADERAS DEL MAGDALENA|1588725307|2005-11-11|Relleno sanitario|-748572040|43305830.0|"28|EMPRESA OPERADORA"|"42|CORPORACIÓN AUTÓNOMA REGIONAL DE CUNDINAMARCA - CAR"|Licencia ambiental|408|2005-03-09|2021-11-09|2021-11-09|2022-06-25|0.0|1000000.0|"42|CORPORACIÓN AUTÓNOMA REGIONAL DE CUNDINAMARCA - CAR"|408|2005-03-09|2021-11-11|2016-01-04|2020-06-03
9|18.0|CAQUETA|18001.0|FLORENCIA|2021|Cabecera Municipal|154.331|CAQUETA-FLORENCIA|36417.18|608.2900000000001|0.01642896092878767|2098068.0|3328|SERVICIOS INTEGRALES EFECTIVOS S.A.  E.S.P.|CAQUETA|FLORENCIA|REGIONAL LA ESPERANZA|701118001|2009-11-02|Relleno sanitario|-753639400|13230340.0|"28|EMPRESA OPERADORA"|"47|CORPORACIÓN PARA EL DESARROLLO SOSTENIBLE DEL SUR DE LA AMAZONIA - CORPOAMAZONIA"|Licencia ambiental|6|2011-03-17|2059-03-01|2059-03-01|2022-06-25|36.0|2065289.0|"47|CORPORACIÓN PARA EL DESARROLLO SOSTENIBLE DEL SUR DE LA AMAZONIA - CORPOAMAZONIA"|6|2011-03-17|2079-03-01|2016-04-01|2022-02-28
