|AUX_PER|AUX_LOC|TONELADAS DE RESIDUOS|TONELADAS APROVECHADAS|AÑO|Total population_x|Departamento|Municipio|REGION|DP|DPNOM|DPMP|MPIO|ÁREA GEOGRÁFICA|Tasa_de_aprovechamiento|Ton_percapita_apro|kg_percapita_apro|Ton_percapita_disp|kg_percapita_disp
0|2020-12|BOGOTA, D.C.-BOGOTA, D.C.|162855.77000000002|145065.59999999992|2020|7743955|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|11|BOGOTA, D.C.|11001|BOGOTA, D.C.|Cabecera Municipal|47.1112479137125|0.01873275348320076|18.73275348320076|0.021030051181857336|18.73275348320076
1|2020-12|BOGOTA, D.C.-BOGOTA, D.C.|162855.77000000002|145065.59999999992|2020|7743955|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|11|BOGOTA, D.C.|11001|BOGOTA, D.C.|Centros Poblados y Rural Disperso|47.1112479137125|0.01873275348320076|18.73275348320076|0.021030051181857336|18.73275348320076
2|2020-12|BOGOTA, D.C.-BOGOTA, D.C.|162855.77000000002|145065.59999999992|2020|7743955|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|11|BOGOTA, D.C.|11001|BOGOTA, D.C.|Total|47.1112479137125|0.01873275348320076|18.73275348320076|0.021030051181857336|18.73275348320076
3|2020-11|BOGOTA, D.C.-BOGOTA, D.C.|162855.77000000002|131980.46|2020|7743955|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|11|BOGOTA, D.C.|11001|BOGOTA, D.C.|Cabecera Municipal|44.76398982580939|0.017043030337857076|17.043030337857076|0.021030051181857336|17.043030337857076
4|2020-11|BOGOTA, D.C.-BOGOTA, D.C.|162855.77000000002|131980.46|2020|7743955|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|11|BOGOTA, D.C.|11001|BOGOTA, D.C.|Centros Poblados y Rural Disperso|44.76398982580939|0.017043030337857076|17.043030337857076|0.021030051181857336|17.043030337857076
5|2020-11|BOGOTA, D.C.-BOGOTA, D.C.|162855.77000000002|131980.46|2020|7743955|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|11|BOGOTA, D.C.|11001|BOGOTA, D.C.|Total|44.76398982580939|0.017043030337857076|17.043030337857076|0.021030051181857336|17.043030337857076
6|2021-04|BOGOTA, D.C.-BOGOTA, D.C.|178917.49999999997|128750.61000000006|2021|7834167|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|11|BOGOTA, D.C.|11001|BOGOTA, D.C.|Cabecera Municipal|41.84723922151049|0.016434499034804855|16.434499034804855|0.02283810135780868|16.434499034804855
7|2021-04|BOGOTA, D.C.-BOGOTA, D.C.|178917.49999999997|128750.61000000006|2021|7834167|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|11|BOGOTA, D.C.|11001|BOGOTA, D.C.|Centros Poblados y Rural Disperso|41.84723922151049|0.016434499034804855|16.434499034804855|0.02283810135780868|16.434499034804855
8|2021-04|BOGOTA, D.C.-BOGOTA, D.C.|178917.49999999997|128750.61000000006|2021|7834167|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|11|BOGOTA, D.C.|11001|BOGOTA, D.C.|Total|41.84723922151049|0.016434499034804855|16.434499034804855|0.02283810135780868|16.434499034804855
9|2021-01|BOGOTA, D.C.-BOGOTA, D.C.|178917.49999999997|128409.36999999998|2021|7834167|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|11|BOGOTA, D.C.|11001|BOGOTA, D.C.|Cabecera Municipal|41.78266937739612|0.016390941117287897|16.3909411172879|0.02283810135780868|16.3909411172879
