|AÑO|REGION|AUX_LOC|Departamento|Municipio|Total population|TONELADAS DE RESIDUOS|TONELADAS APROVECHADAS|Tasa de aprovechamiento|Ton_percapita_apro|kg_percapita_apro|Ton_percapita_disp|kg_percapita_disp
0|2021|CARIBE|ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA-SAN ANDRES|ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA|SAN ANDRES|42404|65287.620000000024|189.3|0.28910950606717595|0.004464201490425432|4.464201490425432|1.5396571078200176|1539.6571078200177
1|2021|CARIBE|ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA-SAN ANDRES|ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA|SAN ANDRES|15912|65287.620000000024|189.3|0.28910950606717595|0.011896681749622927|11.896681749622926|4.103042986425341|4103.042986425341
2|2021|CARIBE|ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA-SAN ANDRES|ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA|SAN ANDRES|58316|65287.620000000024|189.3|0.28910950606717595|0.0032461074147746762|3.2461074147746762|1.119549008848344|1119.5490088483439
3|2017|CARIBE|ATLANTICO-BARANOA|ATLANTICO|BARANOA|50313|11926.602|8.48646|0.07110512861670067|0.0001686733051100113|0.1686733051100113|0.23704811877645937|237.04811877645938
4|2017|CARIBE|ATLANTICO-BARANOA|ATLANTICO|BARANOA|10363|11926.602|8.48646|0.07110512861670067|0.0008189192318826594|0.8189192318826595|1.1508831419473127|1150.8831419473127
5|2017|CARIBE|ATLANTICO-BARANOA|ATLANTICO|BARANOA|60676|11926.602|8.48646|0.07110512861670067|0.00013986518557584547|0.13986518557584546|0.19656210033621202|196.562100336212
6|2018|CARIBE|ATLANTICO-BARANOA|ATLANTICO|BARANOA|51730|49857.35399999997|34.93832999999998|0.07002750999875737|0.0006753978349120429|0.675397834912043|0.96379961337715|963.7996133771501
7|2018|CARIBE|ATLANTICO-BARANOA|ATLANTICO|BARANOA|10652|49857.35399999997|34.93832999999998|0.07002750999875737|0.0032799784078107377|3.2799784078107375|4.680562711227935|4680.562711227935
8|2018|CARIBE|ATLANTICO-BARANOA|ATLANTICO|BARANOA|62382|49857.35399999997|34.93832999999998|0.07002750999875737|0.0005600706934692696|0.5600706934692696|0.7992266038280268|799.2266038280268
9|2019|CARIBE|ATLANTICO-BARANOA|ATLANTICO|BARANOA|53911|52747.12800000001|80.14902000000004|0.15171900677306577|0.00148669139878689|1.4866913987868902|0.9784112333290055|978.4112333290054
10|2019|CARIBE|ATLANTICO-BARANOA|ATLANTICO|BARANOA|11038|52747.12800000001|80.14902000000004|0.15171900677306577|0.0072611904330494685|7.261190433049468|4.778685269070484|4778.6852690704845
11|2019|CARIBE|ATLANTICO-BARANOA|ATLANTICO|BARANOA|64949|52747.12800000001|80.14902000000004|0.15171900677306577|0.0012340300851437288|1.2340300851437287|0.812131487782722|812.131487782722
12|2020|CARIBE|ATLANTICO-BARANOA|ATLANTICO|BARANOA|55697|63504.198000000004|1286.549999999999|1.9857001805257735|0.023099089717579027|23.099089717579027|1.140172684345656|1140.172684345656
13|2020|CARIBE|ATLANTICO-BARANOA|ATLANTICO|BARANOA|11353|63504.198000000004|1286.549999999999|1.9857001805257735|0.11332246983176245|113.32246983176245|5.593605038315864|5593.6050383158645
14|2020|CARIBE|ATLANTICO-BARANOA|ATLANTICO|BARANOA|67050|63504.198000000004|1286.549999999999|1.9857001805257735|0.019187919463087233|19.187919463087233|0.9471170469798659|947.1170469798659
15|2021|CARIBE|ATLANTICO-BARANOA|ATLANTICO|BARANOA|56768|27947.934000000005|9.270000000000001|0.03315782221999024|0.00016329622322435177|0.16329622322435178|0.4923184540586247|492.3184540586247
16|2021|CARIBE|ATLANTICO-BARANOA|ATLANTICO|BARANOA|11496|27947.934000000005|9.270000000000001|0.03315782221999024|0.0008063674321503133|0.8063674321503133|2.431100730688936|2431.100730688936
17|2021|CARIBE|ATLANTICO-BARANOA|ATLANTICO|BARANOA|68264|27947.934000000005|9.270000000000001|0.03315782221999024|0.00013579632016875662|0.13579632016875662|0.40940955701394594|409.4095570139459
18|2016|CARIBE|ATLANTICO-BARRANQUILLA|ATLANTICO|BARRANQUILLA|1166409|869616.0|3504.4829999999993|0.40137450308790884|0.0030045061380699215|3.0045061380699214|0.7455498028564594|745.5498028564595
19|2016|CARIBE|ATLANTICO-BARRANQUILLA|ATLANTICO|BARRANQUILLA|1146|869616.0|3504.4829999999993|0.40137450308790884|3.058013089005235|3058.013089005235|758.82722513089|758827.22513089
20|2016|CARIBE|ATLANTICO-BARRANQUILLA|ATLANTICO|BARRANQUILLA|1167555|869616.0|3504.4829999999993|0.40137450308790884|0.003001557100093785|3.001557100093785|0.7448180171383789|744.8180171383789
21|2017|CARIBE|ATLANTICO-BARRANQUILLA|ATLANTICO|BARRANQUILLA|1179786|1226790.0|19317.509700000006|1.5502281745056403|0.016373740407158593|16.373740407158593|1.0398411237292187|1039.8411237292187
22|2017|CARIBE|ATLANTICO-BARRANQUILLA|ATLANTICO|BARRANQUILLA|1074|1226790.0|19317.509700000006|1.5502281745056403|17.986508100558666|17986.508100558665|1142.2625698324023|1142262.5698324023
23|2017|CARIBE|ATLANTICO-BARRANQUILLA|ATLANTICO|BARRANQUILLA|1180860|1226790.0|19317.509700000006|1.5502281745056403|0.016358848381687927|16.358848381687928|1.0388953813322495|1038.8953813322494
24|2018|CARIBE|ATLANTICO-BARRANQUILLA|ATLANTICO|BARRANQUILLA|1205284|1195488.0|80246.26088999998|6.290201913525249|0.06657871579644298|66.57871579644298|0.9918724549566741|991.8724549566741
25|2018|CARIBE|ATLANTICO-BARRANQUILLA|ATLANTICO|BARRANQUILLA|1035|1195488.0|80246.26088999998|6.290201913525249|77.53261921739129|77532.61921739129|1155.0608695652174|1155060.8695652175
26|2018|CARIBE|ATLANTICO-BARRANQUILLA|ATLANTICO|BARRANQUILLA|1206319|1195488.0|80246.26088999998|6.290201913525249|0.06652159245605845|66.52159245605844|0.9910214462343708|991.0214462343708
27|2019|CARIBE|ATLANTICO-BARRANQUILLA|ATLANTICO|BARRANQUILLA|1242237|1186470.0|140470.88609999995|10.586069626120018|0.11307897454350493|113.07897454350494|0.9551076002405338|955.1076002405338
28|2019|CARIBE|ATLANTICO-BARRANQUILLA|ATLANTICO|BARRANQUILLA|819|1186470.0|140470.88609999995|10.586069626120018|171.5151234432234|171515.1234432234|1448.6813186813188|1448681.3186813188
29|2019|CARIBE|ATLANTICO-BARRANQUILLA|ATLANTICO|BARRANQUILLA|1243056|1186470.0|140470.88609999995|10.586069626120018|0.11300447131907167|113.00447131907167|0.9544783179518863|954.4783179518863
30|2020|CARIBE|ATLANTICO-BARRANQUILLA|ATLANTICO|BARRANQUILLA|1273646|1472742.0|201415.62000000005|12.030863617250091|0.15814097480775668|158.1409748077567|1.1563197309142415|1156.3197309142415
31|2020|CARIBE|ATLANTICO-BARRANQUILLA|ATLANTICO|BARRANQUILLA|604|1472742.0|201415.62000000005|12.030863617250091|333.46956953642393|333469.56953642395|2438.3145695364237|2438314.569536424
32|2020|CARIBE|ATLANTICO-BARRANQUILLA|ATLANTICO|BARRANQUILLA|1274250|1472742.0|201415.62000000005|12.030863617250091|0.15806601530311953|158.06601530311954|1.1557716303708063|1155.7716303708064
33|2021|CARIBE|ATLANTICO-BARRANQUILLA|ATLANTICO|BARRANQUILLA|1296471|1481722.98|137926.88999999998|8.515846082215289|0.10638640586638651|106.38640586638651|1.1428894128754132|1142.8894128754132
34|2021|CARIBE|ATLANTICO-BARRANQUILLA|ATLANTICO|BARRANQUILLA|611|1481722.98|137926.88999999998|8.515846082215289|225.7395908346972|225739.59083469718|2425.07852700491|2425078.52700491
35|2021|CARIBE|ATLANTICO-BARRANQUILLA|ATLANTICO|BARRANQUILLA|1297082|1481722.98|137926.88999999998|8.515846082215289|0.10633629176875478|106.33629176875478|1.1423510464257465|1142.3510464257465
