,NOMBRE_DEL_SITIO_DE_DF,MUNICIPIOS
0,RELLENO SANITARIO PARQUE AMBIENTAL LOS POCITOS,"ATLANTICO - BARRANQUILLA , ATLANTICO - GALAPA , ATLANTICO - PUERTO COLOMBIA , ATLANTICO - SABANALARGA , ATLANTICO - TUBARA , ATLANTICO - PONEDERA , ATLANTICO - MALAMBO , ATLANTICO - JUAN DE ACOSTA"
51,EL CARMEN DE VIBORAL,ANTIOQUIA - EL CARMEN DE VIBORAL
57,RELLENO SANITARIO LA PRADERA,"ANTIOQUIA - SOPETRAN , ANTIOQUIA - BARBOSA , ANTIOQUIA - BELLO , ANTIOQUIA - RETIRO , ANTIOQUIA - RIONEGRO , ANTIOQUIA - BETULIA , ANTIOQUIA - FREDONIA , ANTIOQUIA - COPACABANA , BOYACA - PUERTO BOYACA , ANTIOQUIA - GIRARDOTA , ANTIOQUIA - SABANETA , ANTIOQUIA - GUARNE , ANTIOQUIA - BURITICA , ANTIOQUIA - ITAGUI , ANTIOQUIA - ENVIGADO , ANTIOQUIA - SAN PEDRO DE LOS MILAGROS , ANTIOQUIA - SANTA BARBARA , ANTIOQUIA - SAN JERONIMO , ANTIOQUIA - MEDELLIN , ANTIOQUIA - YOLOMBO , ANTIOQUIA - GOMEZ PLATA , ANTIOQUIA - CISNEROS , ANTIOQUIA - SANTA ROSA DE OSOS , ANTIOQUIA - VENECIA , ANTIOQUIA - SANTA FE DE ANTIOQUIA , ANTIOQUIA - SANTO DOMINGO , ANTIOQUIA - MACEO , ANTIOQUIA - ITUANGO , ANTIOQUIA - AMALFI , ANTIOQUIA - VALPARAISO , ANTIOQUIA - ENTRERRIOS , ANTIOQUIA - PUEBLORRICO , ANTIOQUIA - HELICONIA , ANTIOQUIA - JERICO , ANTIOQUIA - ARMENIA , ANTIOQUIA - VEGACHI , ANTIOQUIA - SAN FRANCISCO , ANTIOQUIA - SALGAR , ANTIOQUIA - AMAGA , ANTIOQUIA - EBEJICO , ANTIOQUIA - CALDAS , ANTIOQUIA - LA ESTRELLA , ANTIOQUIA - CARACOLI , ANTIOQUIA - GUADALUPE , ANTIOQUIA - MARINILLA , ANTIOQUIA - CAMPAMENTO , ANTIOQUIA - SAN ROQUE , ANTIOQUIA - DONMATIAS , ANTIOQUIA - COCORNA , ANTIOQUIA - EL CARMEN DE VIBORAL , ANTIOQUIA - ALEJANDRIA"
345,ANTANAS,"NARINO - SANDONA , NARINO - SAN PABLO , NARINO - TAMINANGO , PUTUMAYO - SIBUNDOY , NARINO - CORDOBA , NARINO - IMUES , NARINO - EL PENOL , NARINO - TANGUA , NARINO - BELEN , NARINO - YACUANQUER , NARINO - SAMANIEGO , NARINO - MALLAMA , NARINO - RICAURTE , NARINO - ARBOLEDA , NARINO - CHACHAGUI , NARINO - ILES , NARINO - LA LLANADA , NARINO - CONSACA , NARINO - CONTADERO , NARINO - SAN LORENZO , NARINO - EL TAMBO , NARINO - PASTO , NARINO - LA UNION , NARINO - EL TABLON DE GOMEZ , NARINO - FUNES , NARINO - LA CRUZ , NARINO - LA FLORIDA , NARINO - SAPUYES , NARINO - PROVIDENCIA , NARINO - POTOSI , NARINO - ALBAN , NARINO - NARINO , NARINO - OSPINA , CAUCA - FLORENCIA , NARINO - BUESACO , NARINO - SANTACRUZ , NARINO - GUAITARILLA , NARINO - EL ROSARIO , NARINO - ANCUYA , CUNDINAMARCA - BOJACA , NARINO - SAN BERNARDO , NARINO - POLICARPA , CAUCA - MERCADERES , NARINO - TUQUERRES , CAUCA - PATIA , CAUCA - BALBOA , PUTUMAYO - ORITO , NARINO - LINARES , NARINO - CUMBITARA , NARINO - COLON , NARINO - IPIALES , CAUCA - LA SIERRA , CAUCA - ROSAS , NARINO - LEIVA , NARINO - PUERRES , NARINO - ALDANA , NARINO - GUALMATAN , LA GUAJIRA - MANAURE"
347,SMIRT,ARAUCA - TAME
352,RELLENO SANITARIO BRISAS DEL CRAVO,ARAUCA - TAME
353,MAGIC GARDEN,"ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA - SAN ANDRES , ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA - PROVIDENCIA"
354,relleno sanitario municipal los ranchos ,ANTIOQUIA - CAMPAMENTO
358,PARQUE AMBIENTAL LAS ORQUIEDAS,"ANTIOQUIA - URRAO , ANTIOQUIA - CAICEDO , ANTIOQUIA - BETULIA"
368,LA ESMERALDA,"CALDAS - VILLAMARIA , RISARALDA - MARSELLA , CALDAS - RIOSUCIO , CALDAS - ANSERMA , CALDAS - CHINCHINA , CALDAS - MANIZALES , RISARALDA - GUATICA , ANTIOQUIA - LA PINTADA , CALDAS - ARANZAZU , TOLIMA - FRESNO , TOLIMA - MURILLO , CALDAS - SUPIA , TOLIMA - HERVEO , CALDAS - LA MERCED , TOLIMA - HONDA , CALDAS - MARMATO , CALDAS - FILADELFIA , ANTIOQUIA - VALPARAISO , CALDAS - PALESTINA , QUINDIO - ARMENIA , CALDAS - MARULANDA , ANTIOQUIA - PUERTO BERRIO , CALDAS - RISARALDA , CALDAS - BELALCAZAR , CALDAS - SAN JOSE , CALDAS - SALAMINA , RISARALDA - DOSQUEBRADAS , PUTUMAYO - PUERTO CAICEDO , VALLE DEL CAUCA - BOLIVAR , CALDAS - NEIRA , RISARALDA - PEREIRA , CALDAS - MANZANARES , ANTIOQUIA - SANTA BARBARA , RISARALDA - APIA"
