|Departamento|REGION|AÑO|TONELADAS DE RESIDUOS|TONELADAS APROVECHADAS|Total_x|Tasa de aprovechamiento|Ton_percapita_apro|kg_percapita_apro
0|ANTIOQUIA|CENTRO ORIENTE|2016|116339.37599999999|5649.636974999999|5576013|0.046312670602210844|0.0010132036950057325|1.0132036950057326
1|ANTIOQUIA|CENTRO ORIENTE|2017|160748.95199999996|23197.280627999993|8030277|0.12610902814689637|0.002888727328833114|2.8887273288331143
2|ANTIOQUIA|CENTRO ORIENTE|2018|182690.93400000007|20773.891289999992|9614592|0.1021006518467789|0.0021606628019160867|2.1606628019160867
3|ANTIOQUIA|CENTRO ORIENTE|2019|183081.26999999996|26834.495550000003|9880308|0.12783458869652303|0.002715957392218947|2.715957392218947
4|ANTIOQUIA|CENTRO ORIENTE|2020|563759.676|29301.83999999999|10107540|0.049407758233295976|0.002899008067244848|2.8990080672448477
5|ANTIOQUIA|CENTRO ORIENTE|2021|190662.78600000002|28875.059999999994|10266372|0.13152657059411976|0.002812586569043085|2.812586569043085
6|ANTIOQUIA|EJE CAFETERO|2016|1626030.7920000004|29569.637564999994|75673344|0.017860370797783163|0.00039075367893085303|0.39075367893085305
7|ANTIOQUIA|EJE CAFETERO|2017|2784173.013|101319.52513499999|126939669|0.03511342476057364|0.0007981707052899279|0.7981707052899278
8|ANTIOQUIA|EJE CAFETERO|2018|2968531.9200000004|120266.92983|141207582|0.03893647196761265|0.0008517030610296831|0.8517030610296832
9|ANTIOQUIA|EJE CAFETERO|2019|3313881.839999999|198421.21245|158288997|0.05649319249704029|0.0012535376192319924|1.2535376192319925
10|ANTIOQUIA|EJE CAFETERO|2020|5576747.785|340926.2999999999|170878503|0.05761153708416841|0.001995138616119547|1.995138616119547
11|ANTIOQUIA|EJE CAFETERO|2021|5861601.164333333|337513.5899999999|171223257|0.05444544961263536|0.0019711901053254695|1.9711901053254695
12|ARAUCA|LLANO |2018|11778.3|302.514|513510|0.025040862312754757|0.0005891102412805983|0.5891102412805983
13|ARAUCA|LLANO |2019|45064.49999999999|2731.9410000000003|2205000|0.05715783315330948|0.0012389755102040817|1.2389755102040816
14|ARAUCA|LLANO |2020|27946.8|483.93|580884|0.017021370889878665|0.0008330923213584812|0.8330923213584812
15|ARAUCA|LLANO |2021|11527.56|183.66000000000003|594858|0.01568239688093982|0.00030874595281562997|0.30874595281562994
16|ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA|CARIBE|2021|65287.620000000024|189.3|2099376|0.0028910950606717595|9.016965041040767e-05|0.09016965041040767
17|ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA|CENTRO ORIENTE|2021|65287.620000000024|189.3|2099376|0.0028910950606717595|9.016965041040767e-05|0.09016965041040767
18|ATLANTICO|CARIBE|2016|869616.0|3504.4829999999993|31523985|0.004013745030879088|0.000111168781484955|0.111168781484955
19|ATLANTICO|CARIBE|2017|1405110.0299999998|20114.538600000003|51666432|0.014113241550248143|0.00038931541856809473|0.3893154185680947
20|ATLANTICO|CARIBE|2018|1969749.87|84255.55718999999|77793000|0.041020123936705725|0.001083073762292237|1.083073762292237
21|ATLANTICO|CARIBE|2019|1906714.8900000004|153758.22749999992|82784007|0.07462277774657737|0.0018573421735915722|1.8573421735915723
22|ATLANTICO|CARIBE|2020|2499331.905|238261.77000000002|88135884|0.08703328480622678|0.002703345779115349|2.703345779115349
23|ATLANTICO|CARIBE|2021|2346366.432|176387.59199999998|84844332|0.06991866441276161|0.0020789555158498975|2.0789555158498976
24|ATLANTICO|EJE CAFETERO|2019|4047.0|2.4899999999999998|291015|0.000614892245690198|8.556259986598628e-06|0.008556259986598628
25|ATLANTICO|EJE CAFETERO|2020|61830.0|1293.8400000000004|3301617|0.020496851902545857|0.0003918807057269212|0.3918807057269212
26|ATLANTICO|EJE CAFETERO|2021|76068.0|2099.88|3666348|0.02686371947147601|0.0005727443221429062|0.5727443221429063
27|ATLANTICO|LLANO |2018|7536.0|129.375|295584|0.01687784354972849|0.00043769283858395585|0.43769283858395586
28|ATLANTICO|LLANO |2019|43317.0|1778.582999999999|2152035|0.039440292855289154|0.0008264656476311951|0.826465647631195
29|ATLANTICO|LLANO |2020|118266.0|5309.61|5232981|0.04296648829004364|0.0010146434699457153|1.0146434699457154
30|ATLANTICO|LLANO |2021|150463.5|9961.500000000002|5632704|0.06209443665264143|0.0017685111804206296|1.7685111804206295
31|BOGOTA, D.C.|CENTRO ORIENTE|2016|4560999.822000002|235682.6478|197124786|0.04913451104672076|0.0011956012867909975|1.1956012867909975
32|BOGOTA, D.C.|CENTRO ORIENTE|2017|6771770.183999999|1348468.7961299994|264148164|0.166062698330636|0.005104971299857301|5.104971299857301
33|BOGOTA, D.C.|CENTRO ORIENTE|2018|7283366.550000003|2335222.79103|266852376|0.24278225301382228|0.008750991188588854|8.750991188588854
34|BOGOTA, D.C.|CENTRO ORIENTE|2019|6155717.448000004|3141843.9825810012|273343356|0.3379212932379267|0.011494129685672701|11.494129685672702
35|BOGOTA, D.C.|CENTRO ORIENTE|2020|7183683.299999997|4118954.19|278782380|0.36442416149719414|0.014774801011455603|14.774801011455603
36|BOGOTA, D.C.|CENTRO ORIENTE|2021|6226124.73|3527074.4400000004|282030012|0.3616325657379147|0.01250602520982767|12.50602520982767
37|BOLIVAR|CARIBE|2016|403657.92000000016|200.18700000000004|11343792|0.000495686471387338|1.7647273504309674e-05|0.017647273504309672
38|BOLIVAR|CARIBE|2017|1245341.1599999995|2201.6189999999992|34432704|0.0017647643327828523|6.393976493975028e-05|0.06393976493975027
39|BOLIVAR|CARIBE|2018|1431268.7699999989|7004.372460000001|35029620|0.0048699876631359724|0.00019995570776959616|0.19995570776959617
40|BOLIVAR|CARIBE|2019|1323900.0300000007|15448.112850000003|36132660|0.011534053287390942|0.0004275387654825303|0.42753876548253034
41|BOLIVAR|CARIBE|2020|1484998.6200000006|22943.160000000007|37374816|0.015214884489771216|0.0006138668348226787|0.6138668348226787
42|BOLIVAR|CARIBE|2021|1431250.5899999996|18509.403000000002|43625040|0.012767218773707744|0.00042428392042735094|0.42428392042735097
43|BOYACA|CENTRO ORIENTE|2016|17779.59|776.2440000000001|1069668|0.04183288123832107|0.0007256868486296684|0.7256868486296684
44|BOYACA|CENTRO ORIENTE|2017|186276.11999999994|3879.819|8661567|0.02040335432279084|0.0004479349983669237|0.4479349983669237
45|BOYACA|CENTRO ORIENTE|2018|308610.912|28088.748900000006|15490827|0.08342375167506444|0.0018132504416968833|1.8132504416968833
46|BOYACA|CENTRO ORIENTE|2019|333337.73099999997|46979.5272|18552264|0.12352720311023739|0.0025322800063647217|2.5322800063647217
47|BOYACA|CENTRO ORIENTE|2020|419870.30999999994|80794.46999999999|19238166|0.1613743830752385|0.004199697102104223|4.199697102104223
48|BOYACA|CENTRO ORIENTE|2021|400554.08999999997|59287.73999999999|19378158|0.12893072385346066|0.0030595137061014775|3.0595137061014777
49|CALDAS|EJE CAFETERO|2016|178638.65999999997|1097.3115|7653744|0.006105130157543339|0.00014336924516942297|0.14336924516942298
50|CALDAS|EJE CAFETERO|2017|390436.5899999999|3649.018620000002|15455988|0.00925945667688311|0.00023609093252401607|0.23609093252401606
51|CALDAS|EJE CAFETERO|2018|405192.59999999974|6120.5805|15946134|0.014880584406655075|0.00038382848783285025|0.38382848783285023
52|CALDAS|EJE CAFETERO|2019|446077.44|10990.0824|17725716|0.024044767701482173|0.0006200078123783547|0.6200078123783547
53|CALDAS|EJE CAFETERO|2020|511111.4100000001|11088.119999999999|18230607|0.02123349287579787|0.0006082145262634425|0.6082145262634425
54|CALDAS|EJE CAFETERO|2021|453555.5700000001|7694.280000000001|18456009|0.01668137127849472|0.00041689836627192806|0.41689836627192806
55|CAQUETA|CENTRO SUR|2018|11893.98|9.0|505038|0.0007561131750200371|1.7820441234124957e-05|0.01782044123412496
56|CAQUETA|CENTRO SUR|2019|20625.660000000003|200.34000000000003|1024584|0.00961970613656007|0.00019553301632662626|0.19553301632662626
57|CAQUETA|CENTRO SUR|2020|127105.16999999998|1723.47|6228396|0.01337800352468209|0.00027671169270547345|0.27671169270547347
58|CAQUETA|CENTRO SUR|2021|109251.54000000001|1824.8699999999994|6294204|0.016428960928787664|0.0002899286391098858|0.2899286391098858
59|CAQUETA|PACIFICO|2018|11893.98|9.0|505038|0.0007561131750200371|1.7820441234124957e-05|0.01782044123412496
60|CAQUETA|PACIFICO|2019|20625.660000000003|200.34000000000003|1024584|0.00961970613656007|0.00019553301632662626|0.19553301632662626
61|CAQUETA|PACIFICO|2020|127105.16999999998|1723.47|6228396|0.01337800352468209|0.00027671169270547345|0.27671169270547347
62|CAQUETA|PACIFICO|2021|109251.54000000001|1824.8699999999994|6294204|0.016428960928787664|0.0002899286391098858|0.2899286391098858
63|CASANARE|LLANO |2018|90692.364|3297.995999999999|4042392|0.03508866228408955|0.0008158525942065983|0.8158525942065983
64|CASANARE|LLANO |2019|132653.83800000005|9666.795599999998|6360543|0.06792265714027845|0.0015198066580164615|1.5198066580164615
65|CASANARE|LLANO |2020|154821.0|24456.57|6396768|0.13641734434486144|0.0038232698137559465|3.8232698137559464
66|CASANARE|LLANO |2021|71620.84200000002|16622.52|3228390|0.18837133607851428|0.005148857480044232|5.148857480044232
67|CAUCA|PACIFICO|2016|169653.50999999992|2041.0722|8381043|0.011887807837887624|0.0002435343906480375|0.2435343906480375
68|CAUCA|PACIFICO|2017|232857.75|4032.7863|11305944|0.01702383878642095|0.0003566961148931925|0.3566961148931925
69|CAUCA|PACIFICO|2018|237143.48999999985|8068.130580000004|11450124|0.03290272524979211|0.0007046325943719041|0.7046325943719041
70|CAUCA|PACIFICO|2019|263439.72|10193.0307|11966508|0.037250770143283145|0.0008517965892806823|0.8517965892806824
71|CAUCA|PACIFICO|2020|335320.5000000002|10608.180000000002|13096341|0.030665800823452966|0.0008100109794025676|0.8100109794025676
72|CAUCA|PACIFICO|2021|291535.37999999995|9003.749999999995|12571272|0.029958661289796094|0.0007162163065121806|0.7162163065121806
73|CESAR|CARIBE|2016|268496.37|224.74235099999999|11134152|0.0008363405057152505|2.0184954453648558e-05|0.020184954453648558
74|CESAR|CARIBE|2017|509473.0380000002|1375.9667100000004|18995598|0.0026934900475750405|7.243608282297828e-05|0.07243608282297828
75|CESAR|CARIBE|2018|621490.2900000003|8153.825969999998|21949254|0.012949896240098418|0.0003714853347635413|0.3714853347635413
