|AÑO|REGION|AUX_LOC|Departamento|Municipio|Total|TONELADAS DE RESIDUOS|TONELADAS APROVECHADAS|Ton_aprov_per_capita|Tasa de aprovechamiento|Ton_percapita_apro|kg_percapita_apro
0|2021|CARIBE|ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA-SAN ANDRES|ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA|SAN ANDRES|58316|21762.539999999997|63.1|0.1082035804924892|0.002891095060671761|0.001082035804924892|1.082035804924892
1|2017|CARIBE|ATLANTICO-BARANOA|ATLANTICO|BARANOA|60676|3975.5340000000006|2.8288200000000003|0.004662172852528183|0.0007110512861670067|4.662172852528183e-05|0.046621728525281826
2|2018|CARIBE|ATLANTICO-BARANOA|ATLANTICO|BARANOA|62382|16619.118000000002|11.64611|0.018669023115642332|0.0007002750999875734|0.00018669023115642334|0.18669023115642333
3|2019|CARIBE|ATLANTICO-BARANOA|ATLANTICO|BARANOA|64949|17582.376|26.71634|0.041134336171457606|0.0015171900677306573|0.00041134336171457604|0.41134336171457603
4|2020|CARIBE|ATLANTICO-BARANOA|ATLANTICO|BARANOA|67050|21168.066|428.85|0.6395973154362417|0.019857001805257755|0.006395973154362416|6.395973154362416
5|2021|CARIBE|ATLANTICO-BARANOA|ATLANTICO|BARANOA|68264|9315.978000000001|3.09|0.0045265440056252194|0.0003315782221999023|4.5265440056252195e-05|0.045265440056252194
6|2016|CARIBE|ATLANTICO-BARRANQUILLA|ATLANTICO|BARRANQUILLA|1167555|289872.0|1168.161|0.10005190333645952|0.004013745030879089|0.0010005190333645952|1.0005190333645952
7|2017|CARIBE|ATLANTICO-BARRANQUILLA|ATLANTICO|BARRANQUILLA|1180860|408930.0|6439.169899999999|0.5452949460562639|0.015502281745056398|0.00545294946056264|5.45294946056264
8|2018|CARIBE|ATLANTICO-BARRANQUILLA|ATLANTICO|BARRANQUILLA|1206319|398496.0|26748.75363|2.2173864152019487|0.06290201913525251|0.02217386415201949|22.17386415201949
9|2019|CARIBE|ATLANTICO-BARRANQUILLA|ATLANTICO|BARRANQUILLA|1243056|395490.0|46823.62870000001|3.7668157106357243|0.10586069626120026|0.03766815710635724|37.66815710635724
10|2020|CARIBE|ATLANTICO-BARRANQUILLA|ATLANTICO|BARRANQUILLA|1274250|490914.0|67138.54|5.268867176770649|0.12030863617250087|0.05268867176770649|52.68867176770649
11|2021|CARIBE|ATLANTICO-BARRANQUILLA|ATLANTICO|BARRANQUILLA|1297082|493907.66000000003|45975.63|3.5445430589584928|0.08515846082215286|0.03544543058958493|35.44543058958493
12|2017|CARIBE|ATLANTICO-GALAPA|ATLANTICO|GALAPA|58493|2575.0|80.13499999999999|0.13699929906142613|0.030181139565408157|0.0013699929906142614|1.3699929906142614
13|2018|CARIBE|ATLANTICO-GALAPA|ATLANTICO|GALAPA|60708|40174.0|345.7879999999999|0.5695921460104103|0.008533805754363766|0.005695921460104103|5.695921460104103
